Variables= x y
Zone T="Up"
0.0  0.0
0.031585  0.0
0.063167  0.0
0.094746  0.0
0.126319  0.0
0.157884  0.0
0.189439  0.0
0.220983  0.0
0.252512  0.0
0.284026  0.0
0.3155220000000001  0.0
0.346999  0.0
0.378453  0.0
0.40988500000000005  0.0
0.44129  0.0
0.4726679999999999  0.0
0.504017  0.0
0.535334  0.0
0.566618  0.0
0.597867  0.0
0.6290780000000001  0.0
0.66025  0.0
0.6913810000000001  0.0
0.722469  0.0
0.753512  0.0
0.784507  0.0
0.815454  0.0
0.8463500000000002  0.0
0.8771930000000001  0.0
0.907982  0.0
0.9387140000000002  0.0
0.9693870000000001  0.0
1.0  0.0
Zone T="Shock wave"
0.0  -0.4877325885658616
0.05126067256641305  -0.48669685508915755
0.1022665153481514  -0.4836051948784884
0.15277374908950747  -0.4785030112318242
0.20254579784775134  -0.47146432059374527
0.2513649540440677  -0.46258851908214316
0.29903502839510304  -0.45199669396120135
0.3453859840133132  -0.43982687946197896
0.3902701309972794  -0.4262310214271157
0.43357319018021057  -0.4113675162564873
0.47520406259605064  -0.39539968787355606
0.5151007632819949  -0.3784895387094983
0.5532221934946725  -0.36079687261974125
0.5895557192796711  -0.3424720360035873
0.6241013702129281  -0.32365994223607814
0.6568819258306628  -0.3044921434365588
0.6879320155689167  -0.2850899040364783
0.7172968928633152  -0.2655631675770452
0.7450327686465944  -0.24600858832600736
0.7712016005910978  -0.22651163556126588
0.7958693376258933  -0.20714708623245337
0.8191065778570336  -0.18797782802839177
0.8409846202483475  -0.16905752135711438
0.8615751160957641  -0.15043082687948583
0.8809490907443936  -0.132134282244247
0.8991756013892593  -0.11419774466901697
0.9163234618180209  -0.09664292611464033
0.9324572806093754  -0.07948765957072755
0.9476395398327373  -0.06274430941474751
0.9619302401974176  -0.04642050683997513
0.9753853852741559  -0.03052135817595991
0.9880583971692688  -0.015048369985514372
1.0  0.0
Zone T="Down"
0.0  -0.3089042455851368
0.04404467657373423  -0.308202191482698
0.08791579956493646  -0.3061073246058948
0.13144849198527453  -0.3026526654958835
0.1744824600637797  -0.2978919962211656
0.21687131647820404  -0.2918974849295916
0.2584842636455579  -0.28475695112749283
0.2992096449696078  -0.2765703847110346
0.3389512302186966  -0.2674475990692432
0.3776377605098632  -0.2575029150794126
0.41521386656601555  -0.24685385623713557
0.4516454446310812  -0.23561671087033315
0.4869124298235401  -0.2239057256257603
0.5210161469745196  -0.21182811712650504
0.5539651106051056  -0.19948660604324486
0.5857849907482298  -0.1869741107612219
0.6165089448033259  -0.17437574441462386
0.6461769216788165  -0.16176813261939116
0.6748366912597054  -0.14921818226843478
0.7025392803663958  -0.13678451586046098
0.7293376854419866  -0.12451786766332446
0.7552882293443115  -0.112460435524967
0.780446894806985  -0.10064769414354248
0.804869393979578  -0.08910865855107274
0.8286105134978499  -0.07786656240098472
0.8517228791462882  -0.06693987466014664
0.8742595588609084  -0.05634154458341308
0.8962693495780906  -0.046081727783926635
0.917799637265828  -0.03616693479834357
0.9388962684274065  -0.026600608356006063
0.9596015124649961  -0.017384542323201035
0.9799562358588102  -0.008518364760046986
1.0  0.0
